Lyric,label
"시작해볼까
이 시간만을 기다려 왔네
웃음이 번져
드디어 우리 마주한 거야
한동안 널 휘휘 저었던
졸이고 애태웠던 걱정들
후후 불어 꿀꺽 삼켰던
뜨거운 눈물도 모두 던져봐
오늘은 너의 날이야
축제는 지금부터야 woo
잔을 더 높여봐
high up 더 뛰어봐
fly up 더 날아봐
오직 널 위해서
부딪혀볼까
단숨에 맘이 가벼워지네
음악에 취해 흐르는 대로
너를 맡겨봐
한동안 널 살살 녹였던
뜸 들여 살 찌웠던 걱정들
얼음처럼 꽁꽁 얼렸던
그날의 기억도 모두 던져봐
오늘은 너의 날이야
축제는 지금부터야 woo
잔을 더 높여봐
high up 더 뛰어봐
fly up 더 날아봐
오직 널 위해서
Can't let you go
오늘뿐이라 해도
망설이지 말고
Oh Yes let me know
니가 그리는 대로
오늘은 너의 날이야
축제는 지금부터야 woo
잔을 더 높여봐
high up 더 뛰어봐
fly up 더 날아봐
오직 널 위해서
잊지마 너의 날이야
축제는 계속될 거야 woo
소릴 더 높여봐
fly up 더 날아봐
dream up 포기 말아
오직 널 위해서
Uh uh uh
오직 널 위해서 Your day",2
"문득 달라진 게 느껴져
정말 어른이 되고 있어
내 부족함이 보여도
더는 내가 별로 안 미워
오늘 나의 마음보다도
몇 년 뒤를 떠올리면서
나는 자주 불안해 했어
그땐 모든 게 다 그랬어
난 가끔 그리울 것 같아 어리석었던
그래서 더 달리고 달렸던 날들
푸르고 또 푸르던 모습이
새빨갛게 춤추고 뛰던 가슴도
난 요즘엔 하늘이 아름다워
잘 알던 서울이 새삼스러워
비가오면 그대로 다 맞고 싶어
애쓰지 않더라도 행복하고 싶어
문득 떠나고 싶은 날엔
훌쩍 떠나고 싶은데
할 일이 먼저 생각나
꽉 찬 캘린더를 바라봐
나의 이름으로 쓰여지는 약속들이
두근거리던 내 주말들을 채우지만
난 어디로 가는지를 잘 알고 있어
그래서 더 생각이나
많이 무모하고 어리석었던
그래서 더 달리고 달렸던 날들
푸르고 또 푸르던 모습이
새빨갛게 춤추고 뛰던 가슴도
난 요즘엔 하늘이 아름다워
잘 알던 서울이 새삼스러워
비가오면 그대로 다 맞고 싶어
애쓰지 않더라도 행복하고 싶어
사랑한단 말을 더 쉽게 하고 싶어
기억해 불안했던 나의 어린 마음을
겁먹은 채 새우던 어두운 밤을
그때 내게 말할 수 있다면
넌 지금도 충분히 잘 하고 있다고",2
"너의 두 눈은
저 하늘의 별처럼 반짝이고
저기 가득 찬 저 달처럼
찬란하게 비추네
오 아무것도 보이지 않는
어두운 이곳에
곧 사라질 듯 멀어져 가는
내일의 빛이 되어줘
저물어가는 오늘의 나와
밝게 빛나는 내일의 네가
너의 몸짓은 저 대지의
드넓은 세상이 되고
저기 날아가는 새처럼
자유로이 춤추네
오 아무것도 보이지 않는
어두운 이곳에
곧 사라질 듯 멀어져 가는
내일의 빛이 되어줘
저물어가는 오늘의 나와
밝게 빛나는 내일의 네가
손을 잡고 춤을 추네
손을 잡고 춤을 추네
저물어가는 오늘의 나와
밝게 빛나는 내일의 네가
손을 잡고 춤을 추네
손을 잡고 춤을 추네
손을 잡고 춤을 추네
손을 잡고 춤을 추네",2
"고요한 어둠 속에서
움츠러든 채로
멍하니 바라본 별은
유난히 빛나 보여
손을 뻗으면 잡힐 듯이 선명해서
저 멀리 닿을 것만 같던
그 모든 순간이
When every time I dream
멀게만 느껴졌던 날들
날 향해 소리쳐
잊었던 목소릴
숨을 내쉬고 높이 높이
바람 따라 날아오를 때
간직해왔던 꿈이 꿈이
더 가까울 내일로
어렴풋 불어온 바람
그 온기를 느끼고
스치는 별들의 소린
나를 깨웠어
날 가둔 시선에
난 계속 헤매이고
나조차 모르게 또 나를
떠밀었던 그 밤
When every time I dream
멀리서 바래 왔던 날들
날 향해 소리쳐
잊었던 목소릴
숨을 내쉬고 높이 높이
바람따라 날아오를 때
간직해왔던 꿈이 꿈이
가까워 온 지금
shine a light
새장에 갇힌 듯한 시선에
부서진 날개를 펼쳐
더 높이 날아가
날 주저앉혔던
날들을 지우고
날 집어삼켰던
두려움을 벗어나
누군가 날 짓밟아도
난 흔들리지 않아 uh
소리 없이 커지던
저 편견을 벗어나
숨을 내쉬고 높이 높이
바람 따라 날아오를 때
간직해왔던 꿈이 꿈이
가까워 온 지금
shine a light
woo-woo-woo~
woo-woo-woo~
Now the weak girl is gone
난 다시 피어나
한계를 넘어
난 다시 피어나",2
"빛을 잃어가는 마음과는 달리
채워지는 도시의 별은
하나둘씩 늘어가고
자리를 찾아가는 퍼즐처럼
맞춰지는 세상 속을 벗어나고만 싶어
날 향한 시선에 감추기만 했던
마음의 목소리를 소리 내 외치면
스치는 바람을 따라
더없이 가벼워진 마음은
내 안의 나를 깨우게 해
잿빛 세상을 등지고 이 도시를 달려봐
내 맘 가는 대로 가로질러 가볼래 날 위해
그곳이 어디든 날개를 펼치고 I’m flying
저 쏟아지듯 펼쳐진 길 위로
내 모든 걸 던져
Run run run higher fly fly fly higher
I I find myself 다시 빛나는 나를 봐
Run run run higher fly fly fly fly higher
이 어둠 속 눈을 감고
다시 꿈을 꿔
길을 잃어버린 두 눈과는 달리
선명해진 내 안의 꿈은
조금씩 더 커져가고
앞이 보이지 않던 까맣게 번진 어둠도
더는 두렵지 않은걸
날 향한 시선에 감추기만 했던
마음의 목소리를 소리 내 외치면
스치는 바람을 따라
더없이 가벼워진 마음은
더 힘껏 발을 밟게 해
잿빛 세상을 등지고 이 도시를 달려봐
내 맘 가는 대로 가로질러 가볼래 날 위해
그곳이 어디든 날개를 펼치고 I’m flying
저 쏟아지듯 펼쳐진 길 위로
내 모든 걸 던져
두려움은 잊고 이 바람을 느껴
뒤돌아보지 말고 나의 길을 믿어봐
목적지는 없어 이 핸들을 잡은 건 나니까
잿빛 세상을 등지고 이 도시를 달려봐
내 맘 가는 대로 가로질러 가볼래 날 위해
그곳이 어디든 날개를 펼치고 I’m flying
저 쏟아지듯 펼쳐진 길 위로
내 모든 걸 던져
Run run run higher fly fly fly higher
I I find myself 다시 빛나는 나를 봐
Run run run higher fly fly fly fly higher
이 어둠 속 눈을 감고
다시 꿈을 꿔",2
"내게 펼쳐지는 Way
Oh 공기마저 산뜻해
아주 먼 곳에 떠나지 않아도
우린 벌써 In the better place
저 멀리 놓쳐버린
걸어온 길 위의 Something
문득 생각나기는 해도
뭐 딱히 아쉽진 않아
Everything so cozy
햇살이 딱 좋은 오후
두 발끝이 이끄는 대로
오늘은 어디로 갈까
지난 일은 후회하지 않아
행복에 한 걸음 가까운 My day,
oh my day
Yeah 지금 여기서부터
내게 펼쳐지는 Way
Oh 공기마저 산뜻해
눈앞에 보인 모든 게 Beautiful
미소 짓기 충분해 Now
날개 달린 듯한 맘 따라 걷는 이 순간
아주 먼 곳에 떠나지 않아도
우린 벌써 In the better place
복잡한 머릿속 (괜찮아)
바람 잘 날이 없어 (그러게)
다 추억이라고 (아 맞지)
사는 게 그렇잖아 (힘내요 형)
오케이 야 됐고
우리 바람이나 쐬러 가
미간에 주름 보톡스 돼
I swear to god
더 좋은 데로 가
We can be better than ever
배로 되게 더 Synergy
매료되겠어 이 곳이 Better place
더는 시간 낭비하지 않아
내일의 날 위해 바꾸는 Mindset,
my mindset
Yeah 지금, 여기서부터
내게 펼쳐지는 Way
공기마저도 산뜻해
눈앞에 보인 모든 게 Beautiful
미소 짓기 충분해 Now
날개 달린 듯한 맘 따라 걷는 이 순간
아주 먼 곳에 떠나지 않아도
우린 벌써 In the better place
We are we are we are
We are we are we are
We are we are
우린 벌써 In the better place
We are we are we are
We are we are we are
We are we are
In the better place
A better life not too far
내 힘으로 난 만들어 가
답을 알 수 없는 하루하루
매 순간을 원하는 걸로 Choose
아득히 멀리서 빛나는 찬란한 Star
난 그보다 지금 이곳이 좋아
어제의 내가 이끈 낯선 길 위
Yeah 앞만 보고 나아가 Ah yeah
지금 여기 머문 채 행복하기를 선택해
지금의 내겐 모든 게 Beautiful
There’s no other better place now
한층 가벼운 두 발 더는 헤매지 않아
아주 익숙한 거리를 거닐며
눈부셔 In the better place
We are we are we are
We are we are we are
We are we are
눈부셔 In the better place
We are we are we are
We are we are we are
We are we are
눈부셔 In the better place
We are we are we are
We are we are we are
We are we are
우린 벌써 In the better place",2
"예전 그날의 나를 보면
’넌 잘하고 있어’
그렇게 말을 해주고 싶어
늘 속상한 날들
불안한 네 하루
다 눈이 부시게 바뀔 거야
꼭 지금 내 모습처럼

어느 곳을 가던지
매번 헤매던 길
어딜 가도 똑같이
또 반복되던 얘기
너무 늦지 않게
너도 다 알게 될 테니
You’ll be shining
It’s all timing

All your dreams come true
make yourself brand new
널 믿어 dreams come true
life is beautiful
귀를 기울여 네 안의 소릴 들어
All your dreams come true
life is beautiful

It feels like love
la la la la love
알게 될 거야
It feels like love
la la la la love
난 또 다른 너야

yeah yeah
competition with myself nobody else
what a feeling
wish you well before
I look in mirror in the morning
see a lion behind my iris
포기하지 말고 너는 너의 뜻대로 가길
ooh 나는 누군지
깊은 고민 ah
믿어야 할 하난
나 또 너 우리

밤이 깊을수록 더
별은 빛나듯이
때론 보이지 않아도
느낄 수가 있지
분명 이 길 끝엔
찾던 답이 있을 테니
You’ll be shining
It’s all timing

All your dreams come true
make yourself brand new
널 믿어 dreams come true
life is beautiful
귀를 기울여 네 안의 소릴 들어
All your dreams come true
life is beautiful

It feels like love
la la la la love
알게 될 거야
It feels like love
la la la la love
난 또 다른 너야

숨이 차올 때면
잠깐 앉아서 쉬어도 돼
급할 건 없어
지금처럼 계속
포기하지 않으면
Finally I’m happy yeah

ya 쳐진 입꼬리를 upside down
Ima smile for a while
who gon’ stop me now ay
맘의 목소리를 따르는 건
작은 걸음이지만 큰 변화야

uhm 지레 겁먹지 말기
모두 불완전해 네 탓하지 말기
행복한 상상을 매일 하기
(my everyday)
제일 중요한 건 네 자신을 믿기

All my dreams come true
I’m feeling brand new
cuz all my dreams come true
(your dream too)
life is beautiful
귀를 기울여 네 안의 소릴 들어
(that’s for you)
All your dreams come true
life is beautiful

It feels like love
la la la la love
알게 될 거야
It feels like love
la la la la love
난 또 다른 너야

It feels like love
la la la la love
아름다운 너
It feels like love
la la la la love
아름다운 너야",2
"I see you
I see you

너 이유 없이 웅크리고 싶은
그럴 땐 내게 기대도 돼
괜찮다는 말은 하지 않기로 해
그냥 하고 싶은 얘길 하면 돼

혼자서만 삼켜야 했던
네 맘속의 이야기를

I see you
설렘 반짝이던 너의 눈빛을
I see you
I see you
작은 두려움에 망설인 밤도
I see you
Oh 언젠간 닿을 수 있단 믿음에
현실 속을 달려왔던 시간에
오랜 꿈의 무게 힘겨운 건 당연해
그럴 땐 그냥 쉬어가도 돼
Cuz I see you

Oh- (Cuz I see you)

출발선은 조금 늦었대도
너의 속도를 찾아가면 돼
힘이 들 땐 멈추진 못해도
깊은 숨을 쉬었으면 해

혼자서만 삼켜야 했던
네 맘속의 목소리를

I see you
눈물 반짝이던 너의 눈빛을
I see you
I see you
작은 두려움에 뒤척인 밤도
I see you
Oh 왠지 맘이 울적할 땐 기억해
무엇보다 소중한 건 너란 걸
오랜 꿈의 무게 힘겨운 건 당연해
내 손을 잡아 걸어가면 돼
Cuz I see you

Oh- (Cuz I see you)
Oh- (Cuz I see you)
Oh-

너 이유 없이 웅크리고 싶은
그럴 땐 내게 기대도 돼
너의 맘이 잠시 쉬어갈 수 있게
따스하게 너를 꼭 안아줄게",2
"Hey 무감각한 내 발을 봐
Yeah
내 노력의 훈장인거야
거센 파도가 나에게 밀려와
숨 쉬는 법을 망각하게 하려 해
Yeah
Hey 세상을 이겨낼거야
Ooh 흔들리지 마
Ooh 무너지지 마라
Ooh 당당해져라
Ooh 세상 앞에서
Run 한 걸음 더
One Two Three
Four Five Six
그렇게 앞으로 나아가
한 걸음 더 가까이
들리니 가까워진 함성 소리
나 나 나 나 나 나 나 나 나 나
나 나 나 나 나 나 나 나 나 나
한 걸음 더 One, Two Three
결승선을 지나칠거야
Hey 세상이 나를 울려도
Hey 나답게 소리칠거야
아무리 내 앞길 막는다 해도
무의미하단 걸 깨달을거야
Yeah
Hey 날 막기에는 부족해
Ooh 흔들리지 마
Ooh 무너지지 마라
Ooh 당당해져라
Ooh 세상 앞에서
Run 한 걸음 더
One Two Three
Four Five Six
그렇게 앞으로 나아가
한 걸음 더 가까이
들리니 가까워진 함성 소리
나 나 나 나 나 나 나 나 나 나
나 나 나 나 나 나 나 나 나 나
한 걸음 더
One, Two Three
결승선을 지나칠거야
Ooh 흔들리지 마
Ooh 무너지지 마라
Ooh 당당해져라
Ooh 세상 앞에서
Ooh 흔들리지 마
Ooh 무너지지 마라
Ooh 당당해져라
Ooh 세상 앞에서
Run 한 걸음 더
One Two Three
Four Five Six
그렇게 앞으로 나아가
한 걸음 더 가까이
들리니 가까워진 함성 소리
나 나 나 나 나 나 나 나 나 나
나 나 나 나 나 나 나 나 나 나
한 걸음 더
One, Two Three
결승선을 지나칠거야",2
"내가 버린 꿈과 내가 가진 것
사람들이 나에게 기대를 거는 것
한치 앞도 보이지 않는
미래에 대해 방황해
또 기대에 부응 하지 못한 건
아마도 모든 게 실수투성이였지
어린 날의 밤에 난 철이 없었지
나를 안아줄 사람이 필요해
세상을 떠돌았지만
불이 꺼진 집처럼 어둡기만 했었지
papa당신은 어디에
나는 아직도 이렇게 어리기에
필요하지 보살핌 혹은 안아줄 누군가
내겐 한 쪽 다리가 없어서
마음 속 다리를 절다가
눈물이 툭 떨어지면
내 맘속 꽃이 지구
지구를 한 바퀴 다 돌아두
대신 할 사람은 없더라구
coming a good day
비가 오는 날에
나의 꿈 나의 기억
모두 하늘 위로 날릴게
coming a good day
비가 오는 날이
그치면 그제 서야
우리 함께 웃을 거야
부모 없는 양아치라 놀림 받았던
그때의 나에게 해주고픈 말 있어
어딜 가든 따로 놀고
나에게 친절히 대하는 사람 하나도
없지 그냥 그랬어
그러다 음악하게 되었고
이 사람들은 나의 음악성을
알아보고 인정해줘
나는 이걸 이뤄내야겠어
내가 가는 길이
멀고도 험할지 몰라도
엄마 내 길을 존중해 줬네
처음엔 다들 무시했고 정신 차려
공부나 잘하라고 말했어
하나 둘 팬이 생기고 TV까지 나오니
점점 분위기는 바뀌어서
내 길 존중했어
날 믿어줬던 팬
그리고 엄마 내 친구
그들이 말했던 자그마한 존중이
내 꿈에 싹을 터
예쁘게 피어 날 거야
그때가 되면 그들에게 감사를 표하지
coming a good day
비가 오는 날에
나의 꿈 나의 기억
모두 하늘 위로 날릴게
coming a good day
비가 오는 날이
그치면 그제 서야
우리 함께 웃을 거야
아마도 언젠간 이 순간
나를 돌아보며 웃겠지
은지 don't worry
빛이 날 거야 난 밝아진 미래와
다가올 꿈을 위해 버텨 all day
어쩜 위험할지도 모르지
내 멀고도 험난한 길
맘 졸이며 지켜봤겠지만
그래도 존중해줬던 내 선생님도
나를 조건 없이 믿어주고
항상 응원해준 하나 밖에 없는
내 친구들도
나 보다 내가 더 행복하길 바라서
날 존중했던 우리 엄마에게
i thank you so much
coming a good day
비가 오는 날에
나의 꿈 나의 기억
모두 하는 위로 날릴게
coming a good day
비가 오는 날이
그치면 그제 서야
우리 함께 웃을 거야
coming a good day
비가 오는 날에
나의 꿈 나의 기억
모두 하는 위로 날릴게
coming a good day
비가 오는 날이
그치면 그제 서야
우리 함께 웃을 거야",2
