Lyrics,label
나는 볼 수 없던 이야기이젠 그 얘기를 해주실래요슬픈 표정 짓지 않아요애써 웃으려도 하지 않을게흘린 눈물을 닦아내는그 손이 참 가여워만 보여도쉽게 건넨 마음은 아닐까망설이는 내가 나도 참 미운걸바람 불어와서러운 마음을 달래고시간은 또 흘러서언젠가는 그 끝에선새하얀 웃음으로멈춰진 것 같던 시간들그댈 향해 흐르고 있었네요맘 졸인 시간이 있기에알 수 있을 거예요 내 맘과 같이바람 불어와서러운 마음을 달래고시간은 또 흘러서언젠가는 그 끝에선새하얀 웃음으로우 이런 내 위로는그리 간단치가 않아서이제야 건넨걸요내 손 잡아요나는 보아요아련히 옅은 빛을 띄다싸늘히 식어가도지친 하루 그 끝에서찬란한 꿈으로,1
내 별자리는 상처투성이 자리내 혈액형은 a b o 또 a b 형날 들킬까 봐 매일 나를 숨겼어I'm sorry어떤 사람이 되고 싶었던 걸까그런 사람이 되면 행복해 질까내 목소리로 내 마음에 속삭여all right길을 잃어버렸니 그럴 수도 있어사람들의 그림자 뒤 따라가지마잃어버린 나를 찾아줘아무것도 아닌 게 내겐 어려워그냥 하고 싶은 대로 하는 거울고 싶을 땐 울어버리고웃고 싶지 않을 때는 웃지 마밤하늘에다 나를 난 그려봐내가 만드는 나의 별자리아무도 지우지 못할 나만의 빛으로엄마 방에 불빛이 이제 꺼졌어그 고단했던 하루가 잠들었어난 왠지 그걸 보고서야 잠이 와 그냥잘은 모르겠지만 안쓰러운 마음뭔진 모르겠지만 잘하고 싶은 맘이 마음이 소중한 거야아무것도 아닌 게 내겐 어려워그냥 하고 싶은 대로 하는 거울고 싶을 땐 울어버리고웃고 싶지 않을 때는 웃지 마밤하늘에다 나를 난 그려봐내가 만드는 나의 별자리아무도 지우지 못할 나만의 빛으로그 땐 내 잘못인 줄만 알아서날 야단치고 탓을 하고그러다 혼자 서러워하고그러다 잠이 들고나를 지우고 또 쓰고그러다 후회하고아무도 아닌 내가 되고이제 다시 그런 거 하기 싫어아무것도 아닌 게 내겐 어려워누가 내게 말해주면 좋겠어울고 싶을 땐 울어 버리고웃고 싶지 않으면 웃지 말라고밤하늘에서 날 보며 빛나는내 얘기를 다 아는 별 하나잘 하고 있는 거라고매일 내게 말해줘아무것도 아닌 게 내겐 어려워그냥 하고 싶은 대로 하는 거내가 빛날 수 있게울고 싶을 땐 울어버리고웃고 싶지 않을 때는 웃지 마반은 거짓말 절반은 진짜 말그 사이 어디쯤에 있는 나잘하고 있는 거라고 말해주고 싶어꼭 안아주고 싶어,1
눈 감으면 더욱 선명해지는 게어떤 말로도 설명이 안 됐어유리 위를 혼자서 걸어가그댈 혹시나 아프게 할까내가 여기 있는데나를 몰라보나요너무 보고 싶어한참 기다렸는데손이 닿지 않네요그냥 멍하니 서 있네요안녕 안녕 안녕 goodbye꿈인듯해 자꾸만 같은 일들이나를 조금씩 무너지게 만해잠시나마 나를 기억해주던 순간기적 같았어 전부 꿈만 같아내가 여기 있는데나를 몰라보나요너무 보고 싶어한참 기다렸는데손이 닿지 않네요그냥 멍하니 서 있네요안녕 안녕 안녕 goodbye시간이 지나도 변치 않는나만 아는 그대의 진한 그 향기가날 알아보나요 나를 찾았나요하얗게 또 밤이 번져가요그댈 아프게 한 날이 지나고 또다시안녕 안녕 안녕 goodbye안녕 안녕 안녕 goodbye,1
따스한 바람이 불어오는 날엔포근한 미소로 나를 또 반겨주던그대란 사람 설레는 이 맘이렇게 난 너에게 빠졌나 봐무심한 듯 곁을 지켜주던 그대느껴본 적 없는 이런 설렘이누군가를 짝사랑하는 마음인가 봐그냥 아쉬움만 남는걸이렇게 좋아해 본 적이 없어요눈만 뜨면 그대가 참 보고 싶어요오늘은 그대 내 곁에서그저 머물러줘요그리고 내 손잡아 주세요꼭 안아 주세요나를 데려다주던 그날 밤문득 내게 건넨 그 한마디에괜스레 얼굴이 붉어지고조심스럽게 oh oh oh그대에게 oh oh oh사랑스러운 그대 귓가에속삭여줄게요사실 그대와 있던 모든 순간은내게는 소중하고 너무나 고마워서정말 아름다워요조심스럽게 oh oh oh그대에게 oh oh oh사랑스러운 그대 귓가에 고백해볼게요이렇게 좋아해 본 적이 없어요눈만 뜨면 그대가 참 보고 싶어요오늘은 그대 내 곁에서그저 머물러줘요그리고 내 손잡아 주세요꼭 안아 주세요부담스럽지 않게 다가가 볼게요부디 날 미워하지 말아요그저 매일 이렇게 날 보며 웃어줘요더는 바랄 게 하나 없죠이렇게 좋아해 본 적이 없어요눈만 뜨면 그대가 참 보고 싶어요오늘은 그대 내 곁에서그저 머물러줘요그리고 내 손잡아 주세요꼭 안아 주세요,1
처음 널 만나던 그 순간숨이 벅차 오르던 기억혹시 네가 들었을까봐들켰을까봐 마음 졸이던 날 기억해넌 참 목소리가 좋았어같이 걸을 때 더 좋았어그래 그럴 때가 있었어가슴 시리게 사랑했었던 날 있었어넌 나에게 매일 첫사랑봄눈이 오듯 그렇게 나는 기다려설레이던 그날도 취했었던 그 밤도마음이 이상해 바람 불어올 즘이면넌 나에게 매일 첫사랑봄눈이 오듯 그렇게 나는 기다려슬퍼 울던 그 날도 비틀대던 그 밤도마음이 이상해바람 불어올 즘이면 여전히때로 사랑은 참 외로워그래 삶이란 늘 어려워알아 우리 함께 했던 날가슴 시리게 사랑했었던 날 있었어넌 나에게 매일 첫사랑봄눈이 오듯 그렇게 나는 기다려설레이던 그날도 취했었던 그 밤도마음이 이상해 바람 불어올 즘이면넌 나에게 매일 첫사랑봄눈이 오듯 그렇게 나는 기다려슬퍼 울던 그 날도 비틀대던 그 밤도마음이 이상해바람 불어올 즘이면 여전히,1
요즘 너무나 네가 낯설게 느껴져어제는 전화도 한 번 없었지어디니 밥은 먹었냐고 묻는상냥한 네 말 기다렸는데아무 말도 없는 너를 보며 느껴내가 알던 니가 맞는 건지다른 사람 네게 생긴 건지이제 더 이상 날 사랑하지 않니우리 이별인 거니왜 내가 싫어졌는지내게 말해줄 순 없니자꾸만 전화해서 귀찮아진 거니아직도 난 너를 사랑하고 있는데난 어떡해 난 어떡해 내가 뭘 잘못한 건지왜 내가 싫증 나는지뭘 내가 잘못하고 있는 거라면말해줄래 네가 말하는그 모습처럼 고칠게다 고칠게 떠나지 마나는 아직도 니가 내 것만 같은데오늘도 네게 전화를 걸어서잘 자라 오늘 밤 꿈에서 보잔달콤한 말 해줄 것 같은데왜 내가 싫어졌는지내게 말해줄 순 없니자꾸만 전화해서 귀찮아진 거니아직도 난 너를 사랑하고 있는데난 어떡해 난 어떡해 내가 뭘 잘못한 건지왜 내가 싫증 났는지뭘 내가 잘못하고 있는 거라면말해줄래 니가 말하는그 모습처럼 고칠게다 고칠게왜 그리 차가운 건지예전에 니가 맞는지너 전에 만나던 그 사람 때문이니말해줄래 니가 만나는그 사람처럼 고칠게다 고칠게 떠나지 마,1
고단한 하루 끝에 떨구는 눈물난 어디를 향해 가는 걸까아플 만큼 아팠다 생각했는데아직도 한참 남은 건가 봐이 넓은 세상에 혼자인 것처럼아무도 내 맘을 보려 하지 않고아무도눈을 감아 보면내게 보이는 내 모습지치지 말고잠시 멈추라고갤 것 같지 않던짙은 나의 어둠은나를 버리면모두 갤 거라고웃는 사람들 틈에 이방인처럼혼자만 모든 걸 잃은 표정정신 없이 한참을 뛰었던 걸까이제는 너무 멀어진 꿈들이 오랜 슬픔이 그치기는 할까언젠가 한 번쯤 따스한 햇살이 내릴까나는 내가 되고별은 영원히 빛나고잠들지 않는꿈을 꾸고 있어바보 같은 나는내가 될 수 없단 걸눈을 뜨고야그걸 알게 됐죠나는 내가 되고별은 영원히 빛나고잠들지 않는꿈을 꾸고 있어바보 같은 나는내가 될 수 없단 걸눈을 뜨고야그걸 알게 됐죠어떤 날 어떤 시간 어떤 곳에서나의 작은 세상은 웃어줄까,1
세상과 다른 눈으로 나를 사랑하는세상과 다른 맘으로 나를 사랑하는그런 그대가 나는 정말 좋다나를 안아주려 하는 그대 그 품이나를 잠재우고 나를 쉬게 한다위로하려 하지 않는 그대 모습이나에게 큰 위로였다나의 어제에 그대가 있고나의 오늘에 그대가 있고나의 내일에 그대가 있다그댄 나의 미래다나와 걸어주려 하는 그대 모습이나를 웃게 하고 나를 쉬게 한다옆에 있어주려 하는 그대 모습이나에게 큰 위로였다나의 어제에 그대가 있고나의 오늘에 그대가 있고나의 내일에 그대가 있다그댄 나의 미래다,1
그땐 아주 오랜 옛날이었지난 작고 어리석은 아이였고열병처럼 사랑에 취해 버리고심술궂게 그 맘을 내팽개쳤지내가 버린 건 어떠한 사랑인지생애 한번 뜨거운 설램인지두번 다시 또 오지 않는건지그땐 미처 알지 못했지오랜 뒤에 나는 알게 되었지난 작고 어리석었다는 것을술에 취해 집을 향하던 봄날에물결처럼 가슴이 일렁거렸지내가 버린건 어떠한 사랑인지생애 한번 뜨거운 설렘인지두번 다시 또 오지 않는건지그땐 미처 알지 못했지오 내가 놓아 버린건 어떠한 사랑인지생애 한번 뜨거운 설렘인지두번 다시 또 오지 않는건지그땐 미처 알지 못했지 예예예예예예,1
바람에 날려 꽃이 지는 계절엔아직도 너의 손을 잡은 듯 그런 듯 해그때는 아직 꽃이 아름다운 걸지금처럼 사무치게 알지 못했어우 너의 향기가 바람에 실려 오네우 영원할 줄 알았던 스물다섯 스물하나그 날의 바다는 퍽 다정했었지아직도 나의 손에 잡힐 듯 그런 듯 해부서지는 햇살 속에 너와 내가 있어가슴 시리도록 행복한 꿈을 꾸었지우 그날의 노래가 바람에 실려 오네우 영원할 줄 알았던 지난날의 너와 나너의 목소리도 너의 눈동자도애틋하던 너의 체온마저도기억해내면 할수록 멀어져 가는데흩어지는 널 붙잡을 수 없어바람에 날려 꽃이 지는 계절엔아직도 너의 손을 잡은 듯 그런 듯 해그때는 아직 네가 아름다운 걸지금처럼 사무치게 알지 못했어우 너의 향기가 바람에 실려 오네우 영원할 줄 알았던 스물다섯 스물하나우 그날의 노래가 바람에 실려 오네우 영원할 줄 알았던 지난날의 너와 나우 우 우 영원할 줄 알았던 스물다섯 스물하나스물다섯 스물하나,1
